CLIENT_NUM,EN_CLIENT_NM_AN,FR_CLIENT_NM
243,CANADIAN CANCER SOCIETY,Société canadienne du cancer
249,CANADIAN COUNCIL FOR TOBACCO CONTROL,null
250,SHIPPING FEDERATION OF CANADA (THE)/FEDERATION MARITIME DU CANADA (LA),null
251,The Shipping Federation of Canada,La Fédération Maritime du Canada
259,Canadian Media Production Association,Association canadienne de production de média
279,Canadian Wind Energy Association,Association canadienne de l'énergie éolienne
285,ASSOCIATION DE LA PRESSE FRANCOPHONE (APF),null
286,Cubic Field Services Canada Ltd,null
289,CANADIAN INTERNET POLICY AND PUBLIC INTEREST CLINIC,null
302,Canadian Community Newspapers Association,L'Association des hebdos du Canada
303,CIJA (CANADIAN COUNCIL FOR ISRAEL AND JEWISH ADVOCACY),null
318,Canadian Blood Services,Societe Canadienne du Sang
319,CANADIAN CONSUMER SPECIALTY PRODUCTS ASSOCIATION,L'ASSOCIATION CANADIENNE DE PRODUITS DE CONSOMMATION SPECIALISÉS
341,Board of Trade of Metropolitan Montréal,Chambre de commerce du Montréal métropolitain
342,CANADIAN DENTAL HYGIENISTS ASSOCIATION,L'ASSOCIATION CANADIENNE DES HYGIENISTES DENTAIRES
349,Canadian Recording Industry Association,L'Association de l'industrie canadienne de l'enregistrement
350,WESTERN GRAIN ELEVATOR ASSOCIATION,null
351,CANADIAN JEWISH CONGRESS,null
354,BIOTECANADA,null
363,TEAMSTERS CANADA,null
367,Canadian Labour Congress,Congrès du travail du Canada
368,NAIMA CANADA,null
371,Canada's Research-Based Pharmaceutical Companies,null
372,CANADIAN ANIMAL HEALTH INSTITUTE (CAHI),Institut canadien de la santé animale (ICSA)
377,CAMECO CORPORATION,null
382,Petroleum Services Association of Canada,null
387,CANADIAN SEED TRADE ASSOCIATION,L’ASSOCIATION CANADIENNE DU COMMERCE DES SEMENCES
390,Canadian Horticultural Council,Conseil canadien de l'horticulture
394,Association of International Automobile Manufacturers of Canada,L'Association des fabricants internationaux d'automobiles du Canada
418,L'UNION DES PRODUCTEURS AGRICOLES,null
423,Association of Universities and Colleges of Canada,Association des universités et collèges du Canada
429,Chicken Farmers of Canada,Les Producteurs de poulet du Canada
439,Canadian Museums Association,L'Association des musees canadiens
441,NATURE CANADA,null
444,CANADIAN FOUNDRY ASSOCIATION (CFA),null
450,Canadian GeoExchange Coalition,Coalition canadienne de l'énergie géothermique
451,NAV CANADA,null
452,Apotex Inc.,null
453,Ontario Nurses' Association,null
465,Baking Association of Canada,Association canadienne de la boulangerie
466,Canadian Tourism Human Resource Council,null
470,Canadian Home Builders' Association,null
477,GREAT CANADIAN RAILTOUR COMPANY LIMITED,null
488,CANADIAN SOCIETY OF CUSTOMS BROKERS,null
490,Canadian Produce Marketing Association,Association canadienne de la distribution de fruits et légumes
502,Canadian Restaurant and Foodservices Association,null
512,Consumer Health Products Canada,Produits de sante consommateurs du Canada
513,Dairy Farmers of Canada,Les Producteurs laitiers du Canada
514,Canadian Council of Chief Executives,Conseil canadien des chefs d'entreprise
518,Food Processors of Canada,Fabricants de produits alimentaires du Canada
520,Western Canadian Shippers' Coalition,null
522,SEAFOOD PRODUCERS ASSOCIATION OF NOVA SCOTIA,null
524,MOTORCYCLE AND MOPED INDUSTRY COUNCIL,null
528,CANADIAN MARKETING ASSOCIATION,ASSOCIATION CANADIENNE DU MARKETING
530,Non-Smokers' Rights Association,L'Association pour les droits des non-fumeurs
532,Canada Pork International,null
533,CANADIAN SUGAR INSTITUTE,null
545,CANADA'S VENTURE CAPITAL AND PRIVATE EQUITY ASSOCIATION,null
548,Canadian Generic Pharmaceutical Association (CGPA),L'Association canadienne du médicament générique (ACMG)
551,WORLD VISION CANADA,null
555,Canadian Construction Association,Association canadienne de la construction
562,ASSOCIATION MINIÈRE DU QUÉBEC INC.,null
563,Canadian Fertilizer Institute,Institut canadien des engrais
564,Quebec Business Council on the Environnement,Conseil patronal de l'environnement du Québec (CPEQ)
566,CANADIAN CATTLEMENS' ASSOCIATION,null
567,Canadian Society of Association Executives,Societe Canadienne Des Directeurs D'Association
568,CANADIAN CHEMICAL PRODUCERS ASSOCIATION (CCPA),null
569,Canadian Council for Refugees,Conseil canadien pour les réfugiés
570,Physicians for a Smoke-Free Canada,null
572,Canadian Hydropower Association,null
574,CANADIAN ASSOCIATION OF RECYCLING INDUSTRIES,null
576,CANADIAN BAR ASSOCIATION (THE) (CBA),L'ASSOCIATION DU BARREAU CANADIEN
582,Canadian Hatching Egg Producers,Les producteurs d'oeufs d'incubation du Canada
584,Royal Architectural Institute of Canada (RAIC),Institut royal d'architecture du Canada (IRAC)
599,SHIPBUILDING ASSOCIATION OF CANADA,null
604,Canadian Water and Wastewater Association,Association canadienne des eaux potables et usees
606,HOTEL ASSOCIATION OF CANADA,null
609,Canadian Shipowners Association,Association des armateurs canadiens
617,CROPLIFE CANADA,null
618,Canadian Association of Research Libraries,Association des bibliothèques de recherche du Canada
621,REAL PROPERTY ASSOCIATION OF CANADA (REALPAC),null
622,Canadian Trucking Alliance,Alliance canadienne du camionnage
624,PRIVATE MOTOR TRUCK COUNCIL OF CANADA,null
629,CANADIAN TURKEY MARKETING AGENCY,null
637,CANADIAN ASSOCIATION OF OCCUPATIONAL THERAPISTS(CAOT),ASSOCIATION CANADIENNCE DES ERGOTHÉRAPEUTES (ACE)
645,CANADIAN OILSEED PROCESSORS ASSOCIATION,null
647,CANADA FAMILY ACTION COALITION,null
652,Canadian Association of Physicists,Association canadienne des physiciens et physiciennes
654,Canadian Association of University Teachers,Association canadienne des professeures et professeurs d'université
660,Association Of Canadian Distillers,Association des Distillateurs Canadiens
664,Unifor,Unifor le syndicat
667,CANADIAN ASSOCIATION OF OILWELL DRILLING CONTRACTORS,null
674,CANADIAN URBAN TRANSIT ASSOCIATION,null
675,Association of Canadian Advertisers,Association Canadienne des Annonceurs
680,Canadian Council of Grocery Distributors (CCGD),Conseil canadien des distributeurs en alimentation (CCDA)
684,Canadian Publishers' Council,null
687,CANADIAN FEDERATION OF BIOLOGICAL SOCIETIES,null
688,North West Cruiseship Association (NWCA),null
724,GENERAL ELECTRIC CAPITAL CANADA INC.,null
763,FOOTHILLS PIPELINES LTD,null
764,FOOTHILLS PIPE LINES LTD.,null
767,Nova Chemicals,null
772,Canadian Real Estate Association,L’Association canadienne de l’immeuble
781,Honda Canada Inc.,null
782,Brewers of Canada,null
787,CANADIAN HEALTH FOOD ASSOCIATION,null
801,University of Phoenix,null
809,PRINCE RUPERT GRAIN LTD.,null
817,Purolator Courier Ltd.,null
823,SUNCOR ENERGY INC,null
830,Mounted Police Members' Legal Fund,null
851,Canadian Association of Management Consultants,null
852,Canadian Association of Management Consultants,null
890,TRANSPORT NANUK INC.,null
895,Canadian Chiropractic Association,null
933,Novartis Pharmaceuticals Canada Inc.,null
944,RioCan Real Estate Investment Trust,null
945,ULTRAMAR LTEE.,null
973,National Hockey League,Ligue nationale de hockey
992,BRITISH COLUMBIA MARITIME EMPLOYERS ASSOCIATION,null
998,Center for Science in the Public Interest,null
1021,CANADIAN MARINE PILOTS' ASSOCIATION,Association des pilotes maritimes du Canada
1025,Canadian Marine Pilots' Association,Association des pilotes maritimes du Canada
1038,KRAFT CANADA INC.,null
1052,Canadian Real Estate Association,L’Association canadienne de l’immeuble
1053,H & R BLOCK CANADA INC.,null
1057,SAP CANADA INC.,null
1101,NAV CANADA,null
1102,NAV CANADA,null
1107,Nova Chemicals,null
1120,CISCO SYSTEMS CANADA INC.,null
1145,Wal-Mart Canada Inc.,null
1147,WAL-MART CANADA INC.,null
1189,Microsoft Canada Co.,null
1190,MICROSOFT CANADA,null
1196,HARRIS CORPORATION,null
1220,C2 LOGISTICS,null
1223,LOCKHEED MARTIN CANADA INC.,null
1224,LOCKHEED MARTIN CANADA,null
1236,CAMECO CORPORATION,null
1244,ROYAL LEPAGE RELOCATION SERVICES,null
1246,NATIONAL TOBACCO COMPANY LTD.,null
1247,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,null
1248,CGI Inforamtion Systems and Management Consultants Inc,null
1307,LOCKHEED MARTIN CANADA INC.,null
1324,CHEVRON CANADA RESOURCES,null
1325,CHEVRON CANADA RESOURCES,null
1337,FOOD AND CONSUMER PRODUCTS OF CANADA,Produits alimentaires et de consommation du Canada
1338,Multi-Employer Benefit Plan Council of Canada,null
1340,MIning Association of Canada,L'Association miniere du Canada
1343,Mining Association of Canada,L'Association minière du Canada
1363,FURTHER POULTRY PROCESSORS ASSOCIATION OF CANADA,null
1364,Canadian Association of Regulated Importers (CARI),null
1376,Canadian National Millers Association,Association canadienne des minoteries de farine de blé (CNMA).
1393,ALLIANCE PIPELINE LIMITED PARTNERSHIP,null
1399,ASSOCIATION OF INTERNATIONAL AUTOMOBILE MANUFACTURERS OF CANADA,null
1407,SKYLINK AVIATION INC.,null
1439,L-3 Wescam Inc.,null
1441,CANADIAN SUGAR INSTITUTE (CSI),CONSEIL CANADIEN DU SUCRE (CCS)
1444,AIR CANADA,null
1446,IMS Brogan,null
1451,Association of Canadian Port Authorities,null
1464,U.S. STEEL INTERNATIONAL,null
1496,SALT INSTITUTE (THE),null
1497,Havana House Cigar and Tobacco Merchants Limited,null
1515,STRATEGIC RELATIONSHIPS SOURCING INC.,null
1548,Dow AgroSciences Canada Inc,null
1562,PFIZER CANADA INC.,null
1565,General Dynamics Ordnance & Tactical Systems Canada Inc.,null
1567,Prospectors & Developers Association of Canada,null
1571,Atlantic Canada Fish Farmers' Association,null
1579,WEYERHAEUSER COMPANY CANADA,null
1585,Iogen Energy Corporation,null
1603,Dow AgroSciences Canada Inc,null
1630,HOSPITAL FOR SICK CHILDREN (THE),null
1643,Pratt & Whitney Canada Corp.,null
1647,Nexen Inc.,null
1651,Canadian National Railway,null
1657,Cognos,null
1680,BUFFALO & FORT ERIE PUBLIC BRIDGE AUTHORITY,null
1685,NATIONAL ASSOCIATION OF FLEET ADMINISTRATORS,null
1719,Shaw Communication Inc.,null
1746,Retail Council of Canada,Conseil canadien du commerce de detail
1758,MAGELLAN AEROSPACE CORPORATION,null
1759,ASSOCIATION OF CANADIAN DISTILLERS,null
1774,AMEC Inc.,null
1779,Equifax Canada Inc.,null
1805,CHARRON HUMAN RESOURCES INC.,null
1838,CANADIAN PRACTICAL NURSES ASSOCIATION,null
1859,NuStar Terminals Canada Partnership,null
1866,Government of Prince Edward Island,null
1873,SEASPAN MARINE CORPORATION,null
1875,HEROUX DEVTEK,null
1879,GENERAL MILLS CANADA,null
1892,Association of Canadian Distillers,L'Association des distillateurs canadiens
1910,JANSSEN-ORTHO INC.,null
1919,MBDA,null
1923,Mount Royal University,null
1946,MasterCard Canada Inc.,null
1953,Spectra Energy Transmission,null
1954,Spectra Energy Transmission,null
1970,DUTY FREE AMERICAS,null
1978,Canadian Gas Association,Association canadienne du gaz
1985,COM DEV International,null
1993,CANADIAN CHEMICAL PRODUCERS' ASSOCIATION,null
1996,DIRECT SELLERS ASSOCIATION OF CANADA,null
1997,CHEMISTRY INDUSTRY ASSOCIATION OF CANADA (CIAC),l'Association canadienne de l'industrie de la chimie
2001,Canadian Fuels Association,Association canadienne des carburants
2029,CANADIAN FINANCE & LEASING ASSOCIATION,ASSOCIATION CANADIENNE DE FINANCEMENT ET DE LOCATION
2046,Gulf Nova Scotia Tuna Association,null
2056,Cognos,null
2089,FIBERLINKS TEXTILES INC.,null
2100,MOLSON CANADA,null
2112,X-WAVE SOLUTIONS,null
2123,MARITIMES AND NORTHEAST PIPELINE,null
2167,Canadian Generic Pharmaceutical Association (CGPA),L'Association canadienne du médicament générique (ACMG)
2182,Canada's Research -Based Pharmaceutical Companies Rx&D,null
2188,VALCOM,null
2199,TELEPHONICS,null
2203,GENOME CANADA,null
2230,Mylan Pharmaceuticals ULC,null
2247,Salt Institute of Canada,null
2248,Janssen Inc.,null
2254,Boeing Global Sales Corporation,null
2255,Boeing Global Sales Corporation,null
2306,CHPA Canadian Homeopathic Pharmaceutical Association,APHC l'association pharmaceutiques homeopathiques du Canada
2335,Detroit Windsor Tunnel LLC,null
2356,ENVOY RELOCATION SERVICES INC.,null
2360,Casa Cubana,null
2383,CONSEIL QUÉBÉCOIS DES ENTREPRISES ADAPTÉES (CQEA),null
2388,ULTRA ELECTRONICS MARINE SYSTEMS DIVISION OF ULTRA ELECTRONICS DEFENCE CANADA,null
2394,Ombudsman for Banking Services and Investments,null
2422,Niagara Greenway Consortium,null
2439,BAXTER CORP.,null
2458,FWS JOINT SPORTS CLAIMANTS INC.,null
2469,RYCOM,null
2470,CANADAUNPLUGGED.COM INC.,null
2474,Amazon.ca,null
2483,HERBALIFE OF CANADA LTD.,null
2489,WWE Canada Inc.,null
2566,AFTON CHEMICAL CORPORATION,null
2574,COALITION FOR CANADIAN ASTRONOMY,null
2582,LINAMAR CORPORATION,null
2584,Rheinmetall Canada,null
2599,NORTHERN ONTARIO SCHOOL OF MEDICINE,null
2617,Canadian Council for International Cooperation,Conseil canadien pour la coopération internationale
2629,LIABILITY REFORM TASK FORCE,null
2633,NAVANTIA,null
2652,ACCENTURE INC.,null
2668,Canadian Supply Chain Food Safety Coalition,Coalition canadienne de la filière alimentaire pour la salubrité des aliments
2675,COMPOSITE PANEL ASSOCIATION,null
2687,HATCH,null
2693,Teradata,null
2716,VALCOM,null
2718,ACCESS COPYRIGHT,null
2726,LOCKHEED MARTIN AERONAUTICS CO.,null
2727,LOCKHEED MARTIN AERONAUTICS COMPANY,null
2728,LOCKHEED MARTIN AERONAUTICS CO.,null
2729,LOCKHEED MARTIN AERONAUTICS COMPANY,null
2736,KELVIN HUGHES LIMITED,null
2749,MANITOBA INTERNATIONAL PHARMACISTS ASSOCIATION,null
2754,METHANEX CORPORATION,null
2755,METHANEX CORPORATION,null
2756,General Motors of Canada Ltd.,null
2762,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),null
2766,MOTOROLA CANADA LIMITED,null
2769,CANADIAN MUSEUMS ASSOCIATION,null
2779,Canadian Bus Association,null
2814,General Dynamics Ordnance & Tactical Systems Canada Inc.,null
2815,DUCKS UNLIMITED CANADA,null
2838,GENERAL ELECTRIC CANADA INC.,null
2839,COMPETITION POLICY GROUP,null
2842,MULTIPLE SCLEROSIS SOCIETY OF CANADA,null
2849,TELEPHONICS,null
2862,Consumer Health Products Canada,Produits de santé consommateurs du Canada
2864,BREWERS ASSOCIATION OF CANADA,null
2869,INTERNATIONAL TRUCK AND ENGINE CORPORATION,null
2888,Trillium Health Care,null
2899,EADS/CASA,null
2903,ESTEE LAUDER COMPANIES INC. (THE),null
2925,CANADIAN OLYMPIC COMMITTEE,null
2928,Porsche Cars North America Inc.,null
2942,NORTHROP GRUMMAN SPERRY MARINE,null
2955,WASHINGTON MARINE GROUP,null
2959,Shell Canada Limited,null
2962,HEROUX DEVTEK,null
2963,HEROUX DEVTEK,null
2970,Food Processors of Canada,Fabricants de produits alimentaires du Canada
2978,ONTARIO FLUE-CURED TOBACCO GROWERS' MARKETING BOARD,null
2991,GENERAL DYNAMICS CANADA,null
3016,ACCENTURE INC.,null
3020,NOVA SCOTIA HARNESS RACING INDUSTRY ASSOCIATION,null
3023,CABLE PUBLIC AFFAIRS CHANNEL INC. (CPAC),null
3050,Dairy Processors Association of Canada,Association des Transformateurs Laitiers du Canada
3061,ENVOY RELOCATION SERVICES INC.,null
3063,RED BULL GMBH,null
3066,SAGEM SA,null
3072,Sierra Systems,null
3085,CANADIAN LIGHT SOURCE INC.,null
3096,NET ZERO ENERGY HOME COALITION,null
3119,D-WAVE SYSTEMS INC.,null
3144,ALBERTA RESEARCH COUNCIL,null
3157,CALGARY ZOO,null
3179,Ombudsman for Banking Services and Investments,null
3196,MTS Allstream,null
3200,Rheinmetall Canada,null
3228,SASKTEL,null
3231,CANADIAN ASSOCIATION OF PETROLEUM PRODUCERS,l'Association canadienne des producteurs pétroliers
3233,CANADIAN ASSOCIATION OF PETROLEUM PRODUCERS,null
3258,EMBRAER EMPRESSA BRASILERA DE AERONAUTICA S.A.,null
3262,MEMBERTOU CORPORATION,null
3264,MARITIMES AND NORTHEAST PIPELINE,null
3277,SAYISI DENE FIRST NATION,null
3278,NORTHLANDS DENE FIRST NATION,null
3282,OMNEX CONTROL SYSTEMS ULC,null
3294,Hemmingford Aerospace Inc.,Aérospatiale Hemmingford Inc.
3295,MINICUT INTERNATIONAL INC.,null
3318,Property One consulting,null
3357,DEW ENGINEERING & DEVELOPMENT LIMITED,null
3358,DEW ENGINEERING AND DEVELOPMENT LTD.,null
3373,CUBIC DEFENSE SYSTEMS INC.,null
3377,Enbridge Inc.,null
3382,GENERAL MOTORS OF CANADA LTD.,null
3390,Lockheed Martin Overseas Corp.,null
3392,General Dynamics Ordnance & Tactical Systems Canada Inc.,null
3417,Shell Canada Limited,null
3430,ASTRAL MEDIA INC.,null
3435,MASTERCARD CANADA INC.,null
3442,FENPLAST,null
3451,CANADA MORTGAGE ACCEPTANCE CORPORATION,null
3479,ONTARIO PODIATRIC MEDICAL ASSOCIATION,null
3484,FRIENDS OF THE CANADIAN MUSEUM FOR HUMAN RIGHTS INC.,null
3498,NATIONAL RELOCATION SERVICES INC.,null
3507,GEORGE BROWN COLLEGE,null
3525,The Generations Network,null
3533,Teck Resources,null
3549,Environmental Defence Canada,null
3554,The Co-operators General Insurance Company,null
3592,CANADIAN ASSOCIATION OF BROADCASTERS,null
3601,Canadian Jewellers Association,null
3602,READER'S DIGEST MAGAZINES LIMITED,null
3604,DEW ENGINEERING & DEVELOPMENT LTD.,null
3605,Prince Rupert Grain Ltd.,null
3612,GENERAL MOTORS OF CANADA LTD.,null
3615,PEPSI-COLA CANADA LTD.,null
3622,Aboriginal Peoples Television Network,null
3628,General Electric Canada Company,null
3638,BRUCE POWER,null
3653,INTERVAC - INTERNATIONAL VACCINE CENTRE,null
3682,Canadian Federation of Apartment Associations - Fédération canadienne des associations de propriétaires immobiliers,null
3690,HILL'S PET NUTRITION INC.,null
3691,G3 WORLDWIDE (CANADA) INC.,null
3698,BOSTON SCIENTIFIC,null
3719,COALITION FOR CANADIAN ASTRONOMY,null
3721,National Association for Information Destruction Canada Inc. (NAID),null
3728,CTVglobemedia Inc.,null
3737,DYCOR Technologies Inc,null
3747,CANADIAN PRIVATE COPYING COLLECTIVE,null
3751,MDS AERO SUPPORT CORPORATION,null
3756,SAAB BARRACUDA AB,null
3757,Canadian Generic Pharmaceutical Association,L’Association canadienne du médicament générique
3758,CANADIAN ASSOCIATION OF INCOME FUNDS,null
3759,International Truck and Engine Corporation,null
3766,Amnesty International Canada,null
3787,CANADIAN NATIONAL RAILWAY COMPANY,null
3789,READER'S DIGEST MAGAZINES LIMITED,null
3809,General Electric Canada Company,null
3810,COMPETITION POLICY GROUP,null
3811,TRANSLINK,null
3841,CANADIAN NATIONAL RAILWAY COMPANY,null
3842,SANOFI AVENTIS CANADA,null
3855,Canadian Natural Products Association,Association canadienne des produits naturels
3862,BC SALMON FARMERS ASSOCIATION,null
3880,NORTHERN ONTARIO SCHOOL OF MEDICINE,null
3882,DIAMOND AIRCRAFT INDUSTRIES INC.,null
3899,ADP CANADA,null
3906,MEYERS NORRIS PENNY LLP,null
3911,THE CANADIAN MUSEUM FOR HUMAN RIGHTS,null
3918,Invesco Trimark,null
3921,MESSIER-DOWTY INC.,null
3944,DEW ENGINEERING & DEVELOPMENT LTD.,null
3957,Hewlett Packard (Canada) Limited,null
3996,MOUNTED POLICE MEMBERS' LEGAL FUND,Fonds de recours juridique des membres de la gendarmerie
4007,RBC ROYAL BANK,null
4012,CANADA'S RESEARCH-BASED PHARMACEUTICAL COMPANIES (RX&D),null
4039,AZURE DYNAMICS,null
4071,CANADIAN FERTILIZER INSTITUTE,Institut canadien des engrais
4074,ALLEN-VANGUARD CORP.,null
4075,Bombardier Aéronautique,null
4096,CAPITAL SPORTS MANAGEMENT INC.,null
4117,Enterprise Rent A Car,null
4120,Canadian Boreal Initiative,null
4121,ASSOCIATION OF EQUIPMENT MANUFACTURERS,null
4134,Canadian Association of Emergency Physicians,null
4141,CANADA'S RESEARCH-BASED PHARMACEUTICAL COMPANIES (RX&D),null
4144,CANADA'S RESEARCH-BASED PHARMACEUTICAL COMPANIES (RX&D),null
4147,ENCANA CORPORATION,null
4150,ENCANA CORPORATION,null
4168,BAE SYSTEMS,null
4170,BAE SYSTEMS,null
4172,NEXEN INC.,null
4174,Nexen Inc.,null
4193,Music Canada,null
4194,CANADIAN RECORDING INDUSTRY ASSOCIATION (CRIA),L'association de l'industrie Canadienne de l'enregistrement (AICE).
4200,Cruise Lines International Association – North West & Canada (CLIA-NWC),null
4207,NORTH WEST CRUISESHIP ASSOCIATION (NWCA),null
4219,Arts and Entertainment Network,null
4222,PEWAG INC.,null
4231,Apotex Inc.,null
4242,RHEINMETALL CANADA ,null
4246,CANADIAN ENERGY PIPELINE ASSOCIATION,ASSOCIATION CANADIENNE DE PIPELINES D'ÉNERGIE
4247,CANADIAN ENERGY PIPELINE ASSOCIATION,ASSOCIATION CANADIENNE DE PIPELINES D'ÉNERGIE
4250,CANADIAN ENERGY PIPELINE ASSOCIATION,ASSOCIATION CANADIENNE DE PIPELINES D'ÉNERGIE
4256,Canadian Veterinary Medical Association,null
4261,STRAIT CROSSING INC.,null
4265,Canadian Dental Association,L'Association dentaire canadienne
4270,Tea Association of Canada,null
4273,BMW CANADA INC.,null
4282,Novartis Pharmaceuticals Canada Inc.,null
4290,ROYAL CONSERVATORY OF MUSIC,null
4305,HEALTH PARTNERS INTERNATIONAL OF CANADA,null
4351,Canadian Library Association,Association canadienne des bibliothèques
4355,Canadian Electricity Association,Association canadienne de l'electricite
4356,CANADIAN ELECTRICITY ASSOCIATION,null
4372,Dairy Farmers of Canada,Les Producteurs laitiers du Canada
4376,International Air Transport Association (IATA),null
4388,CONSEIL CANADIEN DES PECHEURS PROFESSIONNELS / CANADIAN COUNCIL OF PROFESSIONAL FISH HARVESTERS,null
4394,LABATT BREWERIES OF CANADA / LA BRASSERIE LABATT,null
4399,BASF CANADA INC.,null
4400,BASF Canada,null
4423,GOVERNMENT OF HONG KONG,null
4430,Canadian Automobile Dealers Association (CADA),Corporation des associations de détaillants d'automobiles (CADA)
4472,UNIVERSITY OF SASKATCHEWAN,null
4489,Canadian Pasta Manufacturers Association,Association canadienne des fabricants de pâtes alimentaires
4510,Canadian Meat Council,Conseil des Viandes du Canada
4512,Canadian Standards Association (CSA),L'Association canadienne de normalisation (Normes CSA)
4520,U.S. Steel Corporation,null
4535,Exhibitions Association of Nova Scotia,null
4539,Rocky Mountaineer Vacations,null
4540,Globe Foundation,null
4543,Enbridge Inc.,null
4544,Lab-Volt,null
4546,Indspire,null
4560,Strategic Relationship Solutions,null
4561,City of Brampton,null
4569,Eurotradia International,null
4571,John Deere Limited,null
4576,THE CANADIAN WHEAT BOARD,null
4590,Canadian Federation of Independent Business (CFIB),Fédération canadienne de l’entreprise indépendante (FCEI)
4591,Canadian Vehicle Manufacturers' Association,null
4603,United Chiefs and Councils of Manitoulin Island,null
4605,ENVOY RELOCATION SERVICES INC.,null
4606,ALENIA NORTH AMERICA,null
4607,XWAVE,null
4610,RISK & INSURANCE MANAGEMENT SOCIETY INC.,null
4611,Harris/SolaCom ATC Solutions,null
4612,VIH Aviation Group,null
4623,MONSANTO CANADA INC.,null
4630,The Canadian Depository for Securities Limited,La Caisse canadienne de dépôt de valeurs Limitée
4635,GILDAN ACTIVEWEAR INC.,null
4644,MacDonald Dettwiler and Associates Ltd. (MDA),null
4669,PEMBINA INSTITUTE,null
4677,Canadian Association of Railway Suppliers,Association Canadienne des Fournisseurs de Chemins de Fer
4692,General Dynamics C4 Systems,null
4695,The Canadian Copyright Licensing Agency,null
4700,Canadian Association of Optometrists,null
4704,MBNA Canada Bank,null
4707,Canada Foundation for Innovation,Fondation canadienne pour l'innovation
4710,Sherritt International Corporation,null
4711,National Aboriginal Achievement Foundation,null
4713,The Rubber Association of Canada,null
4715,CaseBank Technologies Inc.,null
4716,GENWORTH FINANCIAL CANADA,null
4720,Royal Conservatory of Music,null
4721,Japanese Auto Manufacturers Association (JAMA) Canada,null
4722,Nexen Energy ULC,null
4723,CURTISS WRIGHT CONTROLS - INDAL TECHNOLOGIES INC.,null
4728,Canadian Jewish Political Affairs Committee,null
4729,Association des juristes d'expression française du Manitoba,null
4730,Canadian Association of Speech-Language Pathologists and Audiologists,Association canadienne des orthophonistes et audiologistes
4733,CANADIAN LIGHT SOURCE INC.,null
4739,The Canadian Photographers Coalition,null
